iShares Core S&P Small-Cap ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Aug 15, 2018"
Total Net Assets,"45,698,664,979.10"
Shares Outstanding,"525,950,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"WDFC","WD-40","Equity","0.27","166.10","753,180.00","125,103,198.00","125,103,198.00","Consumer Staples","2944742","US9292361071","NASDAQ"
"DORM","DORMAN PRODUCTS INC","Equity","0.27","77.20","1,617,529.00","124,873,238.80","124,873,238.80","Consumer Discretionary","2718594","US2582781009","NASDAQ"
"AKR","ACADIA REALTY TRUST REIT TRUST","Equity","0.27","27.62","4,487,381.00","123,941,463.22","123,941,463.22","Real Estate","2566522","US0042391096","New York Stock Exchange Inc."
"UFPI","UNIVERSAL FOREST PRODUCTS INC","Equity","0.27","36.57","3,381,982.00","123,679,081.74","123,679,081.74","Industrials","2906496","US9135431040","NASDAQ"
"AIN","ALBANY INTERNATIONAL CORP CLASS A","Equity","0.27","77.45","1,587,897.00","122,982,622.65","122,982,622.65","Industrials","2012757","US0123481089","New York Stock Exchange Inc."
"HOPE","HOPE BANCORP INC","Equity","0.27","17.36","7,080,192.00","122,912,133.12","122,912,133.12","Financials","BYN87K7","US43940T1097","NASDAQ"
"KWR","QUAKER CHEMICAL CORP","Equity","0.27","169.02","725,710.00","122,659,504.20","122,659,504.20","Materials","2715186","US7473161070","New York Stock Exchange Inc."
"SUPN","SUPERNUS PHARMACEUTICALS INC","Equity","0.27","43.25","2,835,814.00","122,648,955.50","122,648,955.50","Health Care","B72ZBG4","US8684591089","NASDAQ"
"UCBI","UNITED COMMUNITY BANKS INC","Equity","0.27","30.66","3,960,840.00","121,439,354.40","121,439,354.40","Financials","2862156","US90984P3038","NASDAQ"
"CPS","COOPER STANDARD HOLDINGS INC","Equity","0.27","135.80","894,219.00","121,434,940.20","121,434,940.20","Consumer Discretionary","B51JS17","US21676P1030","New York Stock Exchange Inc."
"MED","MEDIFAST INC","Equity","0.26","208.85","577,924.00","120,699,427.40","120,699,427.40","Consumer Staples","2934033","US58470H1014","New York Stock Exchange Inc."
"CCOI","COGENT COMMUNICATIONS HOLDINGS INC","Equity","0.26","51.76","2,291,445.00","118,605,193.20","118,605,193.20","Telecommunications","B06RWD1","US19239V3024","NASDAQ"
"ROIC","RETAIL OPPORTUNITY INVESTMENTS REI","Equity","0.26","19.11","6,201,364.00","118,508,066.04","118,508,066.04","Real Estate","B28YD08","US76131N1019","NASDAQ"
"HA","HAWAIIAN HOLDINGS INC","Equity","0.26","42.58","2,779,963.00","118,370,824.54","118,370,824.54","Industrials","2408044","US4198791018","NASDAQ"
"SRCI","SRC ENERGY INC","Equity","0.26","8.95","13,221,734.00","118,334,519.30","118,334,519.30","Energy","BD8ZX20","US78470V1089","Nyse Mkt Llc"
"AWR","AMERICAN STATES WATER","Equity","0.26","59.42","1,985,079.00","117,953,394.18","117,953,394.18","Utilities","2267171","US0298991011","New York Stock Exchange Inc."
"DDD","3D SYSTEMS CORP","Equity","0.26","18.87","6,234,800.00","117,650,676.00","117,650,676.00","Information Technology","2889768","US88554D2053","New York Stock Exchange Inc."
"PLCE","CHILDRENS PLACE INC","Equity","0.26","128.40","914,341.00","117,401,384.40","117,401,384.40","Consumer Discretionary","2106791","US1689051076","NASDAQ"
"ARI","APOLLO COMMERCIAL REAL ESTATE FINA","Equity","0.26","19.05","6,158,089.00","117,311,595.45","117,311,595.45","Financials","B4JTYX6","US03762U1051","New York Stock Exchange Inc."
"JJSF","J AND J SNACK FOODS CORP","Equity","0.26","144.76","809,958.00","117,249,520.08","117,249,520.08","Consumer Staples","2469171","US4660321096","NASDAQ"
"FNSR","FINISAR CORP","Equity","0.25","18.47","6,314,999.00","116,638,031.53","116,638,031.53","Information Technology","2517832","US31787A5074","NASDAQ"
"ITRI","ITRON INC","Equity","0.25","61.35","1,894,397.00","116,221,255.95","116,221,255.95","Information Technology","2471949","US4657411066","NASDAQ"
"POWI","POWER INTEGRATIONS INC","Equity","0.25","71.80","1,616,402.00","116,057,663.60","116,057,663.60","Information Technology","2133045","US7392761034","NASDAQ"
"EPAY","BOTTOMLINE TECHNOLOGIES INC","Equity","0.25","60.13","1,923,462.00","115,657,770.06","115,657,770.06","Information Technology","2389558","US1013881065","NASDAQ"
"ELY","CALLAWAY GOLF","Equity","0.25","22.48","5,142,740.00","115,608,795.20","115,608,795.20","Consumer Discretionary","2173933","US1311931042","New York Stock Exchange Inc."
"NTGR","NETGEAR INC","Equity","0.25","66.85","1,726,357.00","115,406,965.45","115,406,965.45","Information Technology","2688363","US64111Q1040","NASDAQ"
"BANR","BANNER CORP","Equity","0.25","65.51","1,756,271.00","115,053,313.21","115,053,313.21","Financials","2346003","US06652V2088","NASDAQ"
"SPPI","SPECTRUM PHARMACEUTICALS INC","Equity","0.25","22.48","5,117,952.00","115,051,560.96","115,051,560.96","Health Care","2982924","US84763A1088","NASDAQ"
"BGS","B AND G FOODS INC","Equity","0.25","31.30","3,656,833.00","114,458,872.90","114,458,872.90","Consumer Staples","B034L49","US05508R1068","New York Stock Exchange Inc."
"PLAY","DAVE AND BUSTERS ENTERTAINMENT INC","Equity","0.25","52.38","2,175,325.00","113,943,523.50","113,943,523.50","Consumer Discretionary","B8SW166","US2383371091","NASDAQ"
"SEM","SELECT MEDICAL HOLDINGS CORP","Equity","0.25","19.25","5,883,494.00","113,257,259.50","113,257,259.50","Health Care","B4MF0Q6","US81619Q1058","New York Stock Exchange Inc."
"AXE","ANIXTER INTERNATIONAL INC","Equity","0.25","71.00","1,595,002.00","113,245,142.00","113,245,142.00","Information Technology","2468844","US0352901054","New York Stock Exchange Inc."
"FIX","COMFORT SYSTEMS USA INC","Equity","0.25","55.40","2,038,001.00","112,905,255.40","112,905,255.40","Industrials","2036047","US1999081045","New York Stock Exchange Inc."
"BOFI","BOFI HOLDING INC","Equity","0.25","37.34","3,021,850.00","112,835,879.00","112,835,879.00","Financials","B0637D4","US05566U1088","NASDAQ"
"ABM","ABM INDUSTRIES INC","Equity","0.25","31.15","3,615,602.00","112,626,002.30","112,626,002.30","Industrials","2024901","US0009571003","New York Stock Exchange Inc."
"SANM","SANMINA CORP","Equity","0.25","29.95","3,756,130.00","112,496,093.50","112,496,093.50","Information Technology","B92RRW2","US8010561020","NASDAQ"
"WAGE","WAGEWORKS INC","Equity","0.25","51.75","2,173,804.00","112,494,357.00","112,494,357.00","Industrials","B6WG4R2","US9304271094","New York Stock Exchange Inc."
"BRKS","BROOKS AUTOMATION INC","Equity","0.25","29.13","3,858,968.00","112,411,737.84","112,411,737.84","Information Technology","2145460","US1143401024","NASDAQ"
"EGHT","8X8 INC","Equity","0.25","22.05","5,084,817.00","112,120,214.85","112,120,214.85","Information Technology","2037170","US2829141009","New York Stock Exchange Inc."
"LAD","LITHIA MOTORS INC CLASS A","Equity","0.24","84.65","1,316,711.00","111,459,586.15","111,459,586.15","Consumer Discretionary","2515030","US5367971034","New York Stock Exchange Inc."
"DSW","DSW INC CLASS A","Equity","0.24","28.16","3,943,778.00","111,056,788.48","111,056,788.48","Consumer Discretionary","B0BV2V6","US23334L1026","New York Stock Exchange Inc."
"EXLS","EXLSERVICE HOLDINGS INC","Equity","0.24","58.90","1,875,258.00","110,452,696.20","110,452,696.20","Information Technology","B07LST0","US3020811044","NASDAQ"
"CBM","CAMBREX CORP","Equity","0.24","61.45","1,792,348.00","110,139,784.60","110,139,784.60","Health Care","2165811","US1320111073","New York Stock Exchange Inc."
"EBS","EMERGENT BIOSOLUTIONS INC","Equity","0.24","57.05","1,918,512.00","109,451,109.60","109,451,109.60","Health Care","B1HJLW5","US29089Q1058","New York Stock Exchange Inc."
"PLXS","PLEXUS CORP","Equity","0.24","60.99","1,785,509.00","108,898,193.91","108,898,193.91","Information Technology","2692160","US7291321005","NASDAQ"
"MNTA","MOMENTA PHARMACEUTICALS INC","Equity","0.24","25.60","4,227,941.00","108,235,289.60","108,235,289.60","Health Care","B018VB0","US60877T1007","NASDAQ"
"HSC","HARSCO CORP","Equity","0.24","24.25","4,435,113.00","107,551,490.25","107,551,490.25","Industrials","2412700","US4158641070","New York Stock Exchange Inc."
"FLOW","SPX FLOW INC","Equity","0.23","45.92","2,341,062.00","107,501,567.04","107,501,567.04","Industrials","BYMN2T7","US78469X1072","New York Stock Exchange Inc."
"ITGR","INTEGER HOLDINGS CORP","Equity","0.23","68.75","1,563,090.00","107,462,437.50","107,462,437.50","Health Care","BD06LM7","US45826H1095","New York Stock Exchange Inc."
"MINI","MOBILE MINI INC","Equity","0.23","43.90","2,447,523.00","107,446,259.70","107,446,259.70","Industrials","2548177","US60740F1057","NASDAQ"
"CRZO","CARRIZO OIL AND GAS INC","Equity","0.23","22.63","4,739,176.00","107,247,552.88","107,247,552.88","Energy","2092801","US1445771033","NASDAQ"
"SAIA","SAIA INC","Equity","0.23","75.75","1,413,521.00","107,074,215.75","107,074,215.75","Industrials","2982399","US78709Y1055","NASDAQ"
"ABCB","AMERIS BANCORP","Equity","0.23","48.70","2,196,293.00","106,959,469.10","106,959,469.10","Financials","2038849","US03076K1088","NASDAQ"
"LXP","LEXINGTON REALTY TRUST REIT TRUST","Equity","0.23","8.95","11,896,244.00","106,471,383.80","106,471,383.80","Real Estate","2139151","US5290431015","New York Stock Exchange Inc."
"CHSP","CHESAPEAKE LODGING TRUST REIT TRUS","Equity","0.23","31.99","3,324,633.00","106,355,009.67","106,355,009.67","Real Estate","B4TC8L1","US1652401027","New York Stock Exchange Inc."
"CWT","CALIFORNIA WATER SERVICE GROUP","Equity","0.23","40.35","2,615,638.00","105,540,993.30","105,540,993.30","Utilities","2165383","US1307881029","New York Stock Exchange Inc."
"NSIT","INSIGHT ENTERPRISES INC","Equity","0.23","54.00","1,944,086.00","104,980,644.00","104,980,644.00","Information Technology","2475060","US45765U1034","NASDAQ"
"SFBS","SERVISFIRST BANCSHARES INC","Equity","0.23","42.28","2,475,723.00","104,673,568.44","104,673,568.44","Financials","BMH0MP5","US81768T1088","NASDAQ"
"CNMD","CONMED CORP","Equity","0.23","76.58","1,364,188.00","104,469,517.04","104,469,517.04","Health Care","2216010","US2074101013","NASDAQ"
"CVCO","CAVCO INDUSTRIES INC","Equity","0.23","226.80","460,434.00","104,426,431.20","104,426,431.20","Consumer Discretionary","2787022","US1495681074","NASDAQ"
"RGNX","REGENXBIO INC","Equity","0.23","65.25","1,584,985.00","103,420,271.25","103,420,271.25","Health Care","BZ0G875","US75901B1070","NASDAQ"
"LTXB","LEGACYTEXAS FINANCIAL GROUP INC","Equity","0.22","43.82","2,339,035.00","102,496,513.70","102,496,513.70","Financials","BV2CL41","US52471Y1064","NASDAQ"
"FELE","FRANKLIN ELECTRIC INC","Equity","0.22","48.05","2,126,549.00","102,180,679.45","102,180,679.45","Industrials","2350383","US3535141028","NASDAQ"
"OIS","OIL STATES INTERNATIONAL INC","Equity","0.22","30.85","3,289,567.00","101,483,141.95","101,483,141.95","Energy","2724472","US6780261052","New York Stock Exchange Inc."
"RGEN","REPLIGEN CORP","Equity","0.22","49.08","2,063,052.00","101,254,592.16","101,254,592.16","Health Care","2731654","US7599161095","NASDAQ"
"NWBI","NORTHWEST BANCSHARES INC","Equity","0.22","18.19","5,565,852.00","101,242,847.88","101,242,847.88","Financials","B523Z73","US6673401039","NASDAQ"
"GIII","G III APPAREL GROUP LTD","Equity","0.22","44.04","2,295,669.00","101,101,262.76","101,101,262.76","Consumer Discretionary","2369721","US36237H1014","NASDAQ"
"MGLN","MAGELLAN HEALTH INC","Equity","0.22","75.20","1,340,714.00","100,821,692.80","100,821,692.80","Health Care","2307787","US5590792074","NASDAQ"
"FWRD","FORWARD AIR CORP","Equity","0.22","62.35","1,616,132.00","100,765,830.20","100,765,830.20","Industrials","2510790","US3498531017","NASDAQ"
"HMN","HORACE MANN EDUCATORS CORP","Equity","0.22","44.85","2,238,702.00","100,405,784.70","100,405,784.70","Financials","2437112","US4403271046","New York Stock Exchange Inc."
"NWN","NORTHWEST NATURAL GAS","Equity","0.22","64.50","1,556,269.00","100,379,350.50","100,379,350.50","Utilities","2649586","US6676551046","New York Stock Exchange Inc."
