"Name","Symbol","Daily","1 Week","1 Month","YTD","1 Year","3 Years"
"FutureFuel","FF","-1.38%","-1.31%","-5.83%","-3.76%","-7.94%","12.53%"
"G-III Apparel","GIII","0.54%","7.41%","1.58%","27.35%","91.29%","-33.48%"
"Gannett","GCI","-0.89%","-2.15%","-6.09%","-13.46%","12.44%","-29.22%"
"Genesco","GCO","3.76%","8.66%","-1.90%","27.38%","25.26%","-36.56%"
"Gentherm","THRM","0.61%","3.14%","4.99%","29.13%","0.74%","-16.94%"
"Geo","GEO","-1.54%","-3.42%","2.74%","11.14%","-13.12%","3.96%"
"Geospace","GEOS","-0.75%","-0.14%","8.52%","12.95%","4.49%","-12.22%"
"Getty","GTY","0.07%","-1.68%","4.37%","3.68%","16.94%","68.72%"
"Gibraltar Industries","ROCK","-0.13%","1.56%","-1.26%","18.64%","19.18%","96.83%"
"Glacier","GBCI","1.05%","0.70%","-2.00%","2.21%","13.73%","36.85%"
"Glatfelter","GLT","0.20%","2.53%","2.07%","-5.64%","-0.49%","-7.79%"
"Government Propertiesome","GOV","-0.71%","-6.33%","4.13%","-16.99%","-13.78%","-18.74%"
"Great Western Bancorp Inc","GWB","1.02%","0.93%","-6.23%","4.02%","2.78%","69.33%"
"Green Dot","GDOT","2.96%","2.17%","4.43%","35.28%","103.34%","311.30%"
"Green Plains Energy","GPRE","1.90%","-3.30%","-22.60%","-4.45%","-15.04%","-36.29%"
"Greenbrier","GBX","0.46%","1.66%","9.22%","3.38%","23.13%","25.26%"
"Greenhill&Co","GHL","0.00%","4.28%","7.82%","62.56%","60.51%","-22.51%"
"Griffon","GFF","2.43%","6.46%","2.16%","-6.88%","-8.89%","17.70%"
"Group 1 Automotive","GPI","-0.82%","1.10%","-9.61%","-6.66%","6.26%","-29.24%"
"Guess?","GES","-0.47%","8.87%","1.27%","36.67%","80.09%","1.81%"
"Gulf Island Fabrication","GIFI","-2.07%","-1.05%","1.61%","-29.64%","-16.00%","-3.77%"
"H B Fuller","FUL","0.96%","-0.37%","2.59%","3.82%","7.74%","38.96%"
"Haemonetics","HAE","0.00%","2.10%","5.54%","66.94%","140.00%","147.79%"
"Hanmi","HAFC","-0.18%","-2.48%","-9.39%","-9.39%","-2.83%","7.42%"
"Harmonic","HLIT","0.00%","-2.25%","0.00%","3.57%","2.35%","-35.27%"
"Harsco","HSC","1.52%","4.93%","-7.51%","25.47%","45.34%","51.07%"
"Haverty Furniture","HVT","-0.47%","-1.40%","-4.74%","-6.84%","-5.59%","-8.14%"
"Hawaiian","HA","3.63%","3.93%","-3.74%","-5.07%","-18.29%","59.96%"
"Hawkins","HWKN","-0.54%","-1.21%","-1.48%","4.12%","-21.69%","-6.51%"
"Haynes","HAYN","1.73%","2.37%","-1.39%","21.34%","10.51%","-12.23%"
"HCI Group Inc","HCI","1.03%","2.28%","-1.93%","41.20%","-9.05%","-6.16%"
"Healthcare Services","HCSG","-9.16%","-13.07%","-10.51%","-26.97%","-27.29%","13.97%"
"Healthequity Inc","HQY","0.14%","1.94%","0.18%","74.69%","71.10%","148.43%"
"HealthStream","HSTM","-0.93%","-2.11%","1.55%","24.27%","10.14%","-7.85%"
"Heartland Express","HTLD","1.15%","-3.24%","-4.93%","-20.69%","-14.27%","-5.66%"
"Heidrick&Struggles","HSII","2.54%","2.54%","-1.63%","47.86%","62.05%","43.71%"
"Helix","HLX","-0.23%","2.62%","16.31%","14.46%","44.31%","-23.63%"
"HFF","HF","1.13%","2.25%","-1.07%","-28.00%","-0.68%","-12.76%"
"Hibbett Sports","HIBB","0.00%","5.93%","3.66%","18.14%","18.72%","-47.07%"
"HighPoint","HPR","2.50%","1.39%","5.31%","27.68%","83.99%","-1.50%"
"Hillenbrand","HI","-0.10%","0.82%","3.03%","10.29%","35.25%","73.53%"
"HMS Holdings","HMSY","-0.37%","-0.17%","2.99%","42.12%","24.56%","92.72%"
"Home BancShares","HOMB","2.06%","1.62%","0.22%","-0.04%","-5.14%","-40.85%"
"Hope Bancorp","HOPE","-3.37%","-4.83%","-9.46%","-7.18%","-6.05%","12.86%"
"Horace Mann Educators","HMN","0.88%","-0.65%","-0.11%","3.63%","26.94%","23.21%"
"Hornbeck","HOS","-2.34%","-3.84%","58.04%","61.09%","91.22%","-70.72%"
"Hub Group","HUBG","0.92%","-2.55%","-7.89%","3.55%","25.89%","27.15%"
"Iconix Brand","ICON","-0.34%","-1.54%","-8.57%","-50.39%","-90.56%","-97.30%"
"ICU Medical","ICUI","2.50%","2.70%","1.20%","40.72%","73.14%","213.03%"
"II-VI","IIVI","1.58%","2.75%","-5.17%","-4.37%","18.63%","153.39%"
"ILG","ILG","0.23%","0.91%","0.15%","20.58%","26.20%","56.38%"
"Independent Bank","INDB","0.50%","1.20%","-2.79%","14.60%","20.65%","60.42%"
"Ingevity","NGVT","-0.77%","4.81%","8.44%","27.78%","55.58%","-"
"Innophoss","IPHS","0.65%","1.40%","3.08%","6.85%","16.06%","-0.85%"
"Innospec","IOSP","-0.24%","1.54%","3.06%","16.86%","27.02%","89.70%"
"Inogen Inc","INGN","1.35%","5.55%","10.74%","79.01%","120.32%","395.84%"
"Insight Enterprises","NSIT","0.43%","0.49%","-2.11%","29.35%","19.61%","76.89%"
"Insperity","NSP","0.10%","4.10%","0.56%","72.62%","175.00%","90.57%"
"Installed Building","IBP","1.05%","4.63%","-5.19%","-24.16%","10.88%","106.97%"
"Integer Hld","ITGR","-0.55%","6.00%","10.53%","59.93%","60.64%","48.49%"
"Integra","IART","-0.58%","-0.47%","-5.61%","31.51%","13.00%","98.55%"
"Inter Parfums","IPAR","-0.18%","2.87%","2.58%","28.08%","48.40%","67.22%"
"Interactive Brokers","IBKR","1.00%","6.64%","-2.40%","10.35%","74.10%","44.53%"
"Interface, Inc.","TILE","1.07%","0.00%","-3.29%","-6.36%","23.95%","-2.93%"
"INTL FCStone","INTL","1.87%","4.09%","4.86%","30.45%","45.39%","73.10%"
"Intrepid Potash","IPI","1.48%","2.49%","-8.65%","-13.45%","43.55%","-60.72%"
"Invacare","IVC","-0.85%","0.28%","-9.04%","4.45%","33.84%","-16.78%"
"Investment Tech","ITG","1.34%","3.48%","3.72%","17.45%","2.22%","-9.27%"
"Iridium","IRDM","-1.65%","-1.92%","7.51%","51.69%","63.47%","121.26%"
"iRobot","IRBT","-1.45%","-3.01%","0.40%","2.58%","-7.44%","150.41%"
"Itron","ITRI","0.17%","-3.25%","-1.65%","-12.61%","-19.62%","91.76%"
"J & J Snack Foods","JJSF","-1.70%","-1.22%","0.46%","1.50%","13.18%","36.19%"
"John Bean Tech","JBT","2.73%","2.12%","2.84%","-15.07%","0.43%","154.74%"
"Kaiser","KALU","1.40%","1.97%","-2.29%","2.24%","13.79%","33.77%"
"Kaman","KAMN","1.18%","0.44%","-7.05%","15.19%","33.24%","63.72%"
"KapStone Paper&Packaging","KS","-0.06%","0.40%","-0.03%","53.28%","53.83%","39.12%"
"Kelly Services A","KELYA","2.19%","3.91%","1.21%","-14.30%","-0.38%","55.28%"
"Kirklands","KIRK","0.26%","0.35%","-7.59%","-4.26%","17.68%","-58.42%"
"Kite","KRG","-0.48%","-1.66%","-2.76%","-15.46%","-15.59%","-37.42%"
"Knight Transportation","KNX","3.36%","-1.29%","-10.39%","-14.23%","6.38%","36.66%"
"Kopin","KOPN","-0.33%","-0.98%","-7.62%","-5.31%","-26.46%","-4.72%"
"Koppers","KOP","2.51%","2.24%","-3.12%","-23.67%","2.37%","69.80%"
