"Name","Symbol","Last","High","Low","Chg.","Chg. %","Vol.","Time"
"Spectrum","SPPI","22.84","22.86","22.11","+0.36","+1.60%","711.81K","16:00:02"
"Spire","SR","76.85","76.90","75.65","+1.10","+1.45%","126.70K","16:00:00"
"Spok Holdings","SPOK","15.55","15.73","15.35","+0.33","+2.13%","68.72K","16:00:01"
"SPS Commerce","SPSC","93.72","94.22","91.23","+2.33","+2.55%","103.66K","16:00:02"
"SPX Corp","SPXC","34.26","34.45","34.00","+0.33","+0.97%","77.28K","16:00:00"
"SPX FLOW Inc","FLOW","46.34","46.69","45.56","+0.42","+0.91%","110.39K","16:00:00"
"Stage Stores","SSI","2.01","2.10","1.99","-0.07","-3.37%","262.55K","16:00:00"
"Stampscom","STMP","235.15","237.75","232.75","+3.40","+1.47%","188.21K","16:00:02"
"Standard Motor Products","SMP","50.04","51.48","50.03","-0.42","-0.83%","99.53K","16:00:00"
"Standex","SXI","107.70","110.00","107.70","-0.80","-0.74%","43.78K","16:00:00"
"Stein Mart","SMRT","2.64","2.78","2.51","-0.07","-2.58%","479.33K","16:00:02"
"Stepan","SCL","87.46","87.61","86.16","+1.41","+1.64%","42.78K","16:00:00"
"Sterling Bancorp","STL","22.57","22.65","22.20","+0.53","+2.38%","917.88K","16:00:00"
"Steven Madden","SHOO","56.15","57.30","56.01","-0.50","-0.88%","219.53K","16:00:02"
"Stewart Info Services","STC","44.48","45.13","44.47","-0.12","-0.27%","44.70K","16:00:00"
"Strategic Education","STRA","129.00","130.82","127.64","+1.04","+0.81%","181.11K","16:00:02"
"Sturm Ruger&Company","RGR","59.40","59.53","58.55","+1.09","+1.87%","53.77K","16:00:00"
"Summit Hotel Properties","INN","13.55","13.75","13.50","+0.01","+0.07%","648.32K","16:00:00"
"SunCoke Energy","SXC","10.65","10.69","10.40","+0.26","+2.50%","402.33K","16:00:00"
"Super Micro Computer","SMCI","19.15","19.70","18.80","+0.40","+2.13%","586.89K","16:00:01"
"Superior Industries","SUP","22.50","22.95","22.25","+0.25","+1.12%","97.87K","16:00:00"
"Supernus","SUPN","43.500","44.100","43.100","+0.250","+0.58%","1.01M","16:00:02"
"Supervalu","SVU","32.130","32.160","32.040","+0.030","+0.09%","1.70M","16:00:00"
"SurModics","SRDX","73.05","73.85","72.45","+0.45","+0.62%","145.92K","16:00:01"
"Sykes","SYKE","28.89","29.29","28.57","+0.32","+1.12%","95.89K","16:00:02"
