"Name","Symbol","Average Vol. (3m)","Market Cap","Revenue","P/E Ratio","Beta"
"Home BancShares","HOMB","1.05M","3.95B","373.05M","19.13","1.2"
"Hope Bancorp","HOPE","505.88K","2.38B","339.90M","12.78","1.35"
"Horace Mann Educators","HMN","115.66K","1.85B","1.17B","25.3","0.82"
"Hornbeck","HOS","276.75K","192.35M","188.93M","","1.37"
"Hub Group","HUBG","292.71K","1.69B","4.24B","25.18","1.47"
"Iconix Brand","ICON","2.44M","42.41M","215.66M","","1.04"
"ICU Medical","ICUI","94.54K","6.03B","1.42B","377.35","0.38"
"II-VI","IIVI","858.10K","2.76B","1.11B","34.49","0.1"
"ILG","ILG","1.39M","4.26B","1.82B","19.9","1.42"
"Independent Bank","INDB","72.74K","2.19B","188.40M","22.94","0.9"
"Ingevity","NGVT","234.64K","3.82B","989.10M","33.65",""
"Innophoss","IPHS","143.20K","969.41M","761.52M","24.76","0.77"
"Innospec","IOSP","106.86K","2.02B","1.37B","18.78","1.05"
"Inogen Inc","INGN","142.22K","4.46B","275.99M","139.15","1.13"
"Insight Enterprises","NSIT","203.16K","1.75B","6.99B","14.59","1.27"
"Insperity","NSP","329.03K","4.15B","4.31B","41.04","0.83"
"Installed Building","IBP","185.61K","1.80B","1.18B","49.77","0.88"
"Integer Hld","ITGR","203.09K","2.33B","1.50B","","0.86"
"Integra","IART","503.33K","5.51B","1.29B","44.4","0.57"
"Inter Parfums","IPAR","116.24K","1.74B","619.97M","38.58","1.52"
"Interactive Brokers","IBKR","931.76K","26.63B","2.25B","15.99","0.98"
"Interface, Inc.","TILE","423.73K","1.39B","1.02B","19.17","1.2"
"INTL FCStone","INTL","123.69K","1.03B","32.31B","42.07","1.73"
"Intrepid Potash","IPI","1.22M","532.23M","162.47M","","1.16"
"Invacare","IVC","326.75K","588.66M","971.84M","","2.37"
"Investment Tech","ITG","149.04K","736.61M","494.34M","","1.46"
"Iridium","IRDM","701.85K","2.01B","462.77M","44.63","1.94"
"iRobot","IRBT","1.16M","2.22B","932.52M","33.97","1.32"
"Itron","ITRI","290.22K","2.33B","2.15B","","0.96"
"J & J Snack Foods","JJSF","76.23K","2.93B","1.14B","36.18","0.62"
"John Bean Tech","JBT","274.91K","2.91B","1.70B","37.24","1.15"
"Kaiser","KALU","121.47K","1.81B","1.43B","25.68","0.63"
"Kaman","KAMN","183.80K","1.87B","1.83B","28.5","0.79"
"KapStone Paper&Packaging","KS","637.09K","3.40B","3.35B","28.17","3.26"
"Kelly Services A","KELYA","162.08K","887.41M","5.45B","8.99","0.9"
"Kirklands","KIRK","152.09K","179.13M","643.72M","32.89","1.17"
"Kite","KRG","717.36K","1.39B","358.47M","","0.51"
"Knight Transportation","KNX","3.00M","6.47B","3.70B","35.7","1.65"
"Kopin","KOPN","586.86K","232.65M","29.12M","106.77","1"
"Koppers","KOP","104.38K","800.32M","1.54B","13.29","0.85"
