"Name","Symbol","Hourly","Daily","Weekly","Monthly"
"Myers Industries","MYE","Neutral","Strong Buy","Strong Buy","Strong Buy"
"MYR Group","MYRG","Sell","Strong Sell","Strong Sell","Strong Buy"
"Nanometrics","NANO","Strong Sell","Buy","Strong Buy","Strong Buy"
"National Presto Industries","NPK","Strong Sell","Neutral","Strong Buy","Strong Buy"
"Natus","BABY","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Nautilus","NLS","Strong Sell","Neutral","Sell","Neutral"
"Navigant","NCI","Strong Buy","Neutral","Strong Buy","Strong Buy"
"NBT Bancorp","NBTB","Strong Buy","Neutral","Strong Buy","Strong Buy"
"Neenah Paper","NP","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Nektar","NKTR","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Neogen","NEOG","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"NETGEAR","NTGR","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Newpark Resources","NR","Strong Sell","Neutral","Strong Buy","Strong Buy"
"NIC","EGOV","Neutral","Neutral","Strong Buy","Strong Buy"
"Northern Oil&Gas","NOG","Strong Buy","Strong Buy","Strong Buy","Buy"
"Northfield Bancorp","NFBK","Neutral","Strong Sell","Strong Sell","Sell"
"Northwest Bancshares","NWBI","Strong Buy","Neutral","Strong Buy","Strong Buy"
"Northwest Natural Gas","NWN","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"NutriSystem","NTRI","Buy","Strong Sell","Sell","Neutral"
"OFG Bancorp","OFG","Strong Sell","Sell","Strong Buy","Strong Buy"
"Old National Bancorp","ONB","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Ollies Bargain Outlet Holdings Inc","OLLI","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Olympic Steel","ZEUS","Strong Buy","Buy","Neutral","Strong Buy"
"Omnicell","OMCL","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Onespan","OSPN","Strong Buy","Strong Buy","Neutral","Strong Buy"
"Opus Bank","OPB","Strong Buy","Strong Sell","Strong Sell","Buy"
"Orion Group","ORN","Buy","Sell","Strong Buy","Strong Buy"
