S&P Small-Cap 600 ETF (VIOO)
Holding details,06/30/2018

Equity holdings
,SEDOL,Ticker,Holding name,Shares,Market value,% of fund*,Sector,Market,Security depository receipt type,
,="BMH0MP5","SFBS      ","SERVISFIRST BANC","104,580","$4,364,123.00","0.23200","Regional Banks","US  ",-,
,="2165383","CWT       ","CALIF WATER SRVC","111,695","$4,350,520.00","0.23200","Water Utilities","US  ",-,
,="B0BV2V6","DSW       ","DSW INC-CL A","168,124","$4,340,962.00","0.23100","Apparel Retail","US  ",-,
,="2037170","EGHT      ","8X8 INC","216,068","$4,332,163.00","0.23100","Application Software","US  ",-,
,="2245597","IOSP      ","INNOSPEC INC","56,505","$4,325,458.00","0.23000","Specialty Chemicals","US  ",-,
,="BYMN2T7","FLOW      ","SPX FLOW INC","98,659","$4,318,304.00","0.23000","Industrial Machinery","US  ",-,
,="2117726","BRC       ","BRADY CORP - A","111,523","$4,299,212.00","0.22900","Commercial Printing","US  ",-,
,="2369721","GIII      ","G III APPAREL","96,817","$4,298,675.00","0.22900","Apparel, Accessories & Luxury Goods","US  ",-,
,="2649586","NWN       ","NORTHWEST NAT GS","66,960","$4,272,048.00","0.22800","Gas Utilities","US  ",-,
,="2468844","AXE       ","ANIXTER INTL INC","67,358","$4,263,761.00","0.22700","Technology Distributors","US  ",-,
,="B01Z8P4","AAWW      ","ATLAS AIR WORLDW","59,433","$4,261,346.00","0.22700","Air Freight & Logistics","US  ",-,
,="BD06LM7","ITGR      ","INTEGER HOLDINGS","65,907","$4,260,888.00","0.22700","Health Care Equipment","US  ",-,
,="2144047","MRCY      ","MERCURY SYSTEMS","111,826","$4,256,098.00","0.22700","Aerospace & Defense","US  ",-,
,="2216010","CNMD      ","CONMED CORP","58,082","$4,251,602.00","0.22600","Health Care Equipment","US  ",-,
,="2437112","HMN       ","HORACE MANN EDUC","95,198","$4,245,831.00","0.22600","Multi-line Insurance","US  ",-,
,="2408044","HA        ","HAWAIIAN HOLDING","117,650","$4,229,518.00","0.22500","Airlines","US  ",-,
,="2418043","HMSY      ","HMS HOLDINGS COR","194,341","$4,201,652.00","0.22400","Health Care Technology","US  ",-,
,="BWC52Q6","SEDG      ","SOLAREDGE TECHNO","87,629","$4,193,048.00","0.22300","Semiconductor Equipment","US  ",-,
,="B1HJLW5","EBS       ","EMERGENT BIOSOLU","82,567","$4,168,808.00","0.22200","Biotechnology","US  ",-,
,="2173933","ELY       ","CALLAWAY GOLF CO","218,781","$4,150,276.00","0.22100","Leisure Products","US  ",-,
,="2716792","ATU       ","ACTUANT CORP-A","140,909","$4,135,679.00","0.22000","Industrial Machinery","US  ",-,
,="2412700","HSC       ","HARSCO CORP","186,713","$4,126,357.00","0.22000","Industrial Machinery","US  ",-,
,="B523Z73","NWBI      ","NORTHWEST BANCSH","237,066","$4,122,578.00","0.22000","Thrifts & Mortgage Finance","US  ",-,
,="B5ZW0F0","IVR       ","INVESCO MORTGAGE","259,071","$4,119,229.00","0.21900","Mortgage REITs","US  ",-,
,="2731654","RGEN      ","REPLIGEN CORP","87,104","$4,097,372.00","0.21800","Biotechnology","US  ",-,
,="2705198","PRGS      ","PROGRESS SOFTWAR","105,494","$4,095,277.00","0.21800","Systems Software","US  ",-,
,="2787022","CVCO      ","CAVCO INDUSTRIES","19,688","$4,088,213.00","0.21800","Homebuilding","US  ",-,
,="BCRY5K3","FOXF      ","FOX FACTORY HOLD","87,665","$4,080,806.00","0.21700","Auto Parts & Equipment","US  ",-,
,="B15M2C3","ALGT      ","ALLEGIANT TRAVEL","29,326","$4,074,848.00","0.21700","Airlines","US  ",-,
,="2389558","EPAY      ","BOTTOMLINE TECH","81,678","$4,070,015.00","0.21700","Application Software","US  ",-,
,="2510790","FWRD      ","FORWARD AIR CORP","68,846","$4,067,422.00","0.21700","Air Freight & Logistics","US  ",-,
,="B1YWPP8","ENSG      ","ENSIGN GROUP INC","113,294","$4,058,191.00","0.21600","Health Care Facilities","US  ",-,
,="BSHZ3P9","PRAA      ","PRA GROUP INC","105,202","$4,055,537.00","0.21600","Consumer Finance","US  ",-,
,="2012757","AIN       ","ALBANY INTL CORP","67,252","$4,045,208.00","0.21500","Industrial Machinery","US  ",-,
