Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
LCI,"Lannett Co Inc",12.8,0.1,+0.79%,12.98,12.5,503800,07/19/18
LCII,"Lci Industries",98.65,1.45,+1.49%,99.7,96.45,186400,07/19/18
LDL,"Lydall Inc",45.7,0.55,+1.22%,46.08,44.75,89600,07/19/18
LGIH,"LGI Homes Inc",61.74,0.76,+1.25%,62.56,60.72,285100,07/19/18
LGND,"Ligand Pharm",232.54,5.81,+2.56%,235.04,226.01,397200,07/19/18
LHCG,"LHC Group Inc",87,0.81,+0.94%,87.26,85.35,254000,07/19/18
LION,"Fidelity Southern Cp",25.93,0.05,+0.19%,26.09,25.58,74400,07/19/18
LKSD,"Lsc Communications Inc",14.79,0.57,+4.01%,15.1,14.22,242900,07/19/18
LL,"Lumber Liquidators Holdings Inc",26.3,0.56,+2.18%,26.4,25.47,467700,07/19/18
LMAT,"Lemaitre Vascular",36.92,0.15,+0.41%,37.14,36.56,108300,07/19/18
LMNX,"Luminex Corp",33.99,0.59,+1.77%,33.99,33.37,375200,07/19/18
LNN,"Lindsay Corp",94.1,0.37,+0.39%,94.36,93.42,108800,07/19/18
LNTH,"Lantheus Holdings",13.85,0.05,+0.36%,14,13.65,231500,07/19/18
LOCO,"El Pollo Loco",11.95,0.2,+1.70%,11.95,11.65,186800,07/19/18
LPSN,"Liveperson Inc",23,0.25,+1.10%,23.1,22.65,405000,07/19/18
LQDT,"Liquidity Services",6.9,0,unch,7,6.75,83400,07/19/18
LTC,"Ltc Properties",42.05,0.88,+2.14%,42.2,41.15,141500,07/19/18
LTXB,"Legacytexas Fnl",43.86,1.94,+4.63%,43.98,41.94,792200,07/19/18
LXP,"Lexington Realty Trust",8.77,0.22,+2.57%,8.8,8.53,748500,07/19/18
LXU,"Lsb Industries Inc",7.35,0.27,+3.81%,7.38,7.07,156200,07/19/18
LZB,"La-Z-Boy Inc",32.4,1.4,+4.52%,32.55,31.15,506100,07/19/18
MANT,"Mantech Intl Cp A",60.34,0.24,+0.40%,60.75,59.68,120800,07/19/18
MATW,"Matthews Intl Corp",58.75,-0.7,-1.18%,59.4,58.55,167600,07/19/18
MATX,"Matson Inc",36.82,-0.13,-0.35%,36.99,36.52,215100,07/19/18
MCRI,"Monarch Casino",47.84,-0.77,-1.58%,48.35,47.06,90300,07/19/18
MCS,"Marcus Corp",33.2,0.15,+0.45%,33.35,32.95,38900,07/19/18
MDC,"M.D.C. Holdings",32.67,0.36,+1.11%,32.85,32.08,249400,07/19/18
MDCO,"Medicines Co",40.08,0.32,+0.80%,40.27,39.36,909000,07/19/18
MDXG,"Mimedx Group Inc",4.02,0.61,+17.89%,4.34,3.38,15319200,07/19/18
MED,"Medifast Inc",171.65,4.88,+2.93%,172.26,166.22,112600,07/19/18
MEI,"Methode Electronics",39.45,0.35,+0.90%,39.7,39.1,176000,07/19/18
MGLN,"Magellan Health",95.45,0.1,+0.10%,96.7,94.2,479200,07/19/18
MGPI,"MGP Ingredients Inc",91.74,1.52,+1.68%,93.14,90.47,197400,07/19/18
MHLD,"Maiden Holdings Ltd",8.15,0.25,+3.16%,8.2,7.85,277700,07/19/18
MHO,"M/I Homes",28.12,0.49,+1.77%,28.16,27.6,174400,07/19/18
MINI,"Mobile Mini Inc",47.75,0.15,+0.32%,47.8,46.65,126100,07/19/18
MLI,"Mueller Industries",29.46,0.04,+0.14%,29.5,29.1,241700,07/19/18
MMSI,"Merit Medical Sys",55.95,0.1,+0.18%,56.25,54.75,260400,07/19/18
MNRO,"Monro Muffler Brak",68.75,1.5,+2.23%,69.15,67,347100,07/19/18
MNTA,"Momenta Pharma",29.95,0.55,+1.87%,30.66,28.65,1334000,07/19/18
MOG.A,"Moog Inc Cl A",79.86,1.02,+1.29%,79.92,78.44,149900,07/19/18
MOV,"Movado Group Inc",49.4,0.35,+0.71%,50,48.35,137000,07/19/18
MPAA,"Motorcar Parts Amer",20.94,0.37,+1.80%,20.97,20.45,135400,07/19/18
MRCY,"Mercury Sys Inc",41.6,-0.09,-0.22%,42.14,41.27,326000,07/19/18
MRTN,"Marten Transport L",23.5,0.05,+0.21%,23.75,23.15,398400,07/19/18
MSTR,"Microstrategy Cl A",137.54,1.71,+1.26%,137.81,135.37,47600,07/19/18
MTH,"Meritage Corp",46.4,0.15,+0.32%,46.75,46.03,249000,07/19/18
MTRN,"Materion Corp",55.9,-0.6,-1.06%,56.3,55.65,50400,07/19/18
MTRX,"Matrix Service Co",19.5,0.3,+1.56%,19.55,19.15,100600,07/19/18
MTSC,"M T S Systems Cp",54.3,0.35,+0.65%,54.6,53.75,51600,07/19/18
MXL,"Maxlinear Inc",17.41,0.3,+1.75%,17.58,16.86,718000,07/19/18
MYE,"Myers Industries",18.55,0.4,+2.20%,18.63,18.15,92000,07/19/18
MYGN,"Myriad Genetics Inc",43.75,0.93,+2.17%,43.88,42.54,623000,07/19/18
MYRG,"MYR Group Inc",37.82,0.05,+0.13%,38.08,37.48,111300,07/19/18
NANO,"Nanometrics Inc",37.62,-0.37,-0.97%,37.92,37.19,115400,07/19/18
NAVG,"Navigators Grp Inc",58.15,0.2,+0.35%,58.2,57.45,61700,07/19/18
NBHC,"National Bank Holdings Corp",38.34,0.16,+0.42%,38.41,37.98,74000,07/19/18
NBTB,"NBT Bancorp Inc",39.63,0.31,+0.79%,39.67,38.92,54800,07/19/18
NCI,"Navigant Consulting",21.42,0.07,+0.33%,21.53,21.22,545000,07/19/18
NE,"Noble Corp",5.99,-0.09,-1.48%,6.14,5.96,3376200,07/19/18
NEOG,"Neogen Cp",81.79,-0.1,-0.12%,82.27,80.57,229300,07/19/18
NEWM,"New Media Investment Group Inc",18.79,0.1,+0.54%,18.8,18.62,237300,07/19/18
NFBK,"Northfield Bncrp Del",16.95,0.06,+0.36%,17.05,16.84,60200,07/19/18
NGVT,"Ingevity Corp",90.05,0,unch,90.64,89.22,269400,07/19/18
NLS,"Nautilus Group",14.4,0,unch,14.6,14.3,101300,07/19/18
