Symbol,Name,"Market Cap, $K","P/E ttm","EPS ttm","Net Income(a) $M",Beta,Dividend(a),"Div Yield(a)"
FCF,"First Commonwealth Financial Corp",1682034000,16.76,1,55170000,1.01,0.36,2.15%
FCFS,"First Cash Fin Svcs",3577431000,25.63,3.15,143890000,0.48,0.88,1.09%
FCN,"Fti Consulting",3096156000,21.45,3.79,107960000,0.17,0,0.00%
FCPT,"Four Corners Property Trust In",1636809000,18.96,1.26,71390000,-0.04,1.1,4.20%
FELE,"Franklin Electric Co",2254240000,23.85,2.05,78180000,1.58,0.48,0.98%
FF,"Futurefuel Corp",586553000,10.98,1.1,23510000,1.64,0.24,1.79%
FFBC,"First Finl Bncp [Oh]",3039795000,15.68,1.98,96790000,1.05,0.76,2.45%
FFIN,"First Finl Bkshs Inc",3962078000,31.07,1.87,120370000,1.27,0.84,1.45%
FIX,"Comfort Systems USA",2059372000,24.58,2.27,55270000,1.33,0.32,0.57%
FLOW,"SPX Flow Inc",1964533000,24.29,1.92,46400000,1.95,0,0.00%
FMBI,"First Midwest Bncp",2760710000,18.68,1.44,98390000,1.13,0.44,1.64%
FN,Fabrinet,1553121000,18,2.33,97120000,0.61,0,0.00%
FNSR,"Finisar Corp",2181519000,47.77,0.39,-48290000,1.21,0,0.00%
FORM,"Formfactor Inc",1037733000,17.72,0.79,40910000,1.4,0,0.00%
FORR,"Forrester Resrch",811343000,68.48,0.66,15140000,0.47,0.8,1.77%
FOSL,"Fossil Group",1147784000,0,-0.54,-478170000,-0.11,0,0.00%
FOXF,"Fox Factory Cp",2412916000,36.22,1.76,43130000,0.69,0,0.00%
FRAN,"Francesca's Holdings",273050000,25.3,0.3,15560000,0.15,0,0.00%
FRGI,"Fiesta Restaurant Gp",774468000,61.17,0.52,-36230000,0.54,0,0.00%
FSB,"Franklin Financial Network Inc",549653000,14.51,2.64,28080000,1.1,0,0.00%
FSP,"Franklin Street Properties",887864000,8.37,-0.01,-15940000,0.79,0.36,4.30%
FSS,"Federal Signal Corp",1517040000,22.09,0.94,61600000,1.11,0.32,1.25%
FTD,"Ftd Companies",111318000,0,0,-234040000,0.13,0,0.00%
FTK,"Flotek Industries",128730000,0,0,-27400000,1.42,0,0.00%
FTR,"Frontier Commun Cp",543863000,0,-2.91,-1804000000,0.57,1.2,22.90%
FUL,"H. B. Fuller Company",2870093000,21.87,2.64,58240000,1.52,0.62,1.07%
FWRD,"Foward Air Corp",1850811000,23.61,2.67,87320000,1.39,0.6,0.95%
GBCI,"Glacier Bancorp Inc",3680001000,22.85,1.91,116380000,1.41,1.04,2.38%
GBX,"Greenbrier Companies",1883115000,14.45,4.08,116070000,1.75,1,1.70%
GCI,"Gannett Co. Inc",1148498000,9.08,1.02,6890000,0.95,0.64,6.13%
GCO,"Genesco Inc",831660000,13.79,3.01,-111840000,1.03,0,0.00%
GDOT,"Green Dot Corp",4341031000,39.34,2.03,85890000,0.74,0,0.00%
GEOS,"Geospace Technologie",181424000,0,-2.54,-56790000,1.26,0,0.00%
GES,"Guess Inc",1855954000,32.81,0.7,-7890000,0.18,0.9,3.92%
GFF,"Griffon Corp",786945000,23.6,0.75,14910000,1.36,0.28,1.58%
GHL,"Greenhill & Co. Inc",724497000,119.26,0.27,-26650000,1.14,0.2,0.62%
