Symbol,Name,Last,Opinion,"20D Rel Str","20D His Vol","20D Avg Vol","52W Low","52W High"
HMN,"Horace Mann Educators Corp",45.95,"40% Buy",55.21%,13.95%,80270,33.85,47.65
HMST,"Homestreet Inc",29.05,Hold,48.06%,14.49%,74340,24.2,32.6
HMSY,"Hms Hldgs Cp",31.94,"88% Buy",81.68%,52.96%,679765,11.01,32.5
HOPE,"Hope Bancorp Inc",17.48,"64% Sell",48.69%,11.12%,570945,16.74,19.86
HPR,"Highpoint Resources Corp.",5.4,"16% Sell",44.22%,63.66%,2068235,2.66,7.6
HQY,Healthequity,92.62,"96% Buy",73.06%,15.46%,332775,40.21,93.4
HSC,"Harsco Corp",27.55,"96% Buy",65.63%,28.91%,386655,15.55,27.9
HSII,"Heidrick & Struggl",43.9,"88% Buy",63.36%,28.34%,173285,17.9,45.28
HSKA,"Heska Corp",97.14,"48% Sell",41.28%,25.01%,32950,56.59,111.34
HSTM,"Healthstream Inc",30.7,"88% Buy",59.71%,13.27%,88580,21.15,31.56
HT,"Hersha Hospitality Trust",23.52,"100% Buy",69.76%,14.67%,265620,16.6,23.61
HTLD,"Heartland Express",20.65,"80% Buy",61.39%,14.97%,274020,17.38,25.22
HUBG,"Hub Group Inc A",52.6,"80% Buy",57.23%,36.12%,326810,37.22,56.6
HVT,"Haverty Furniture Companies",21.95,"32% Buy",55.62%,12.89%,79575,17.7,27.23
HWKN,"Hawkins Inc",40.65,"72% Buy",56.41%,52.64%,26750,30.55,42.85
HZO,"Marinemax Inc",21.9,"40% Buy",61.90%,23.82%,230840,14.95,25.05
IBP,"Installed Building Products I",47.45,"72% Sell",40.11%,50.03%,225400,45.04,79.4
IIIN,"Insteel Industries",38.78,"8% Buy",48.11%,23.74%,142620,23.84,43.78
IIVI,"I I V I Inc",50,"96% Buy",65.04%,45.66%,572100,34.55,53.08
INDB,"Independent Bk Corp",89.75,"40% Buy",61.91%,12.34%,75830,66.3,95
INGN,"Inogen Inc",257.1,"100% Buy",77.12%,31.41%,220985,91.8,258.59
INN,"Summit Hotel Properties",13.98,"16% Sell",52.58%,17.33%,492375,12.77,16.39
INTL,"Intl Fcstone Inc",56.05,"88% Buy",58.59%,18.42%,42105,33.11,57
INVA,"Innoviva Inc",14.54,"32% Buy",56.23%,20.65%,632395,11.47,17.99
IOSP,"Innospec Inc",77.5,"8% Buy",49.57%,25.27%,98710,54.1,83.2
IPAR,"Inter Parfums Inc",65.4,"80% Buy",68.11%,21.45%,94805,38.4,67.5
IPHS,"Innophos Hldngs Inc",44.12,"40% Sell",42.78%,19.17%,61270,38.66,51.34
IRBT,"Irobot Corp",115.93,"96% Buy",80.46%,30.27%,872190,55.77,118.75
IRDM,"Iridium Comm Inc",19.75,"16% Buy",56.29%,36.68%,1042155,9.68,21.25
IRT,"Independence Realty Trust Inc",10.31,"64% Buy",56.61%,14.91%,468775,8.26,10.63
ITG,"Investment Technology Group",21.6,Hold,46.29%,44.34%,214275,17.63,23.96
ITGR,"Integer Holdings Corp",78.05,"96% Buy",71.23%,23.64%,277980,42.5,78.55
ITRI,"Itron Inc",65.7,"80% Buy",61.78%,26.84%,283845,55.26,79.95
IVC,"Invacare Corp",15.35,"96% Sell",34.12%,32.58%,364895,13.2,20
IVR,"Invesco Mortgage Capital Inc",16.19,Hold,50.36%,9.75%,623975,15.15,18.86
JBSS,"John B Sanfilippo",71.03,"48% Sell",39.77%,34.26%,81775,54.32,79.37
JBT,"John Bean Technologies Corp",116.95,"100% Buy",67.36%,18.03%,117940,84.81,122.65
JCP,"J.C. Penney Company Inc",1.73,"88% Sell",34.47%,123.54%,18828750,1.6,4.75
JJSF,"J J Snack Foods",143.53,"56% Sell",43.28%,11.49%,56060,124.49,159.05
JRVR,"James River Gp HD",40.61,"24% Buy",51.91%,16.18%,98640,32.17,44.34
KALU,"Kaiser Aluminum",109.96,"64% Buy",52.58%,21.35%,79000,90.93,119.66
KAMN,"Kaman Corp",65.09,"64% Sell",43.29%,14.78%,151060,48.05,75.08
KELYA,"Kelly Svcs Cl A",25.16,"48% Buy",55.93%,18.55%,136425,21.18,32.31
KEM,"Kemet Corp",26.14,"48% Buy",54.36%,39.17%,1120445,13.73,29.85
KFY,"Korn/Ferry International",66.9,"72% Buy",55.81%,20.90%,375900,31.99,68.98
KIRK,"Kirkland's Inc",11.5,"16% Buy",49.44%,26.48%,95140,8.55,13.48
KLIC,"Kulicke and Soffa",26.1,"24% Buy",50.68%,24.48%,515990,18.22,28.71
KN,"Knowles Corp",17.5,"40% Buy",57.75%,11.95%,673855,10.94,18.32
KOP,"Koppers Holdings Inc",36.1,"32% Sell",46.99%,36.86%,201625,33.65,51.8
KOPN,"Kopin Cp",2.29,"72% Sell",35.22%,88.40%,398920,2.12,4.6
KRA,"Kraton Performance Polymers Inc",47.66,"24% Buy",50.58%,28.36%,118690,31.48,53.99
KRG,"Kite Realty Group Trust",17.66,"96% Buy",61.15%,17.38%,482785,13.87,20.79
KS,"Kapstone Paper and Packaging Corp",34.44,"56% Sell",46.08%,4.14%,716570,20.42,35.01
KWR,"Quaker Chemical Corp",177.54,"96% Buy",62.61%,17.35%,38595,134.91,180.51
LABL,"Multi Color Cp",60.35,"96% Sell",39.71%,39.76%,90155,57.76,89.7
LAD,"Lithia Motors",87.93,"16% Sell",45.91%,17.85%,225705,78.85,127.99
LCI,"Lannett Co Inc",5.35,"88% Sell",25.64%,330.23%,2701900,4.6,30.35
LCII,"Lci Industries",94.4,"16% Buy",49.83%,47.65%,183945,80.95,132.73
LDL,"Lydall Inc",43.75,Hold,49.65%,27.79%,76290,37.5,60
LGIH,"LGI Homes Inc",57.72,"8% Buy",51.81%,48.27%,321685,40.73,81.88
LGND,"Ligand Pharm",256.66,"96% Buy",65.03%,40.53%,390950,123.11,259.43
LHCG,"LHC Group Inc",98.01,"72% Buy",68.01%,20.01%,216885,58.65,100.43
LION,"Fidelity Southern Cp",24.22,"24% Sell",46.96%,12.58%,81295,20.28,27.05
LKSD,"Lsc Communications Inc",12.06,"40% Sell",43.65%,87.03%,384685,10.64,18.64
LL,"Lumber Liquidators Holdings Inc",17.99,"56% Sell",36.67%,37.56%,1258895,16.9,41.33
LMAT,"Lemaitre Vascular",36.05,"16% Buy",48.76%,17.65%,92310,28.23,41.28
LMNX,"Luminex Corp",28.12,"16% Sell",45.48%,118.48%,480115,18.62,35.37
LNN,"Lindsay Corp",93.23,"16% Sell",51.18%,16.31%,42690,83.57,103.03
LNTH,"Lantheus Holdings",15.1,"40% Buy",57.77%,55.08%,245060,12.8,24.45
LOCO,"El Pollo Loco",12,"32% Buy",52.91%,25.23%,262795,9.05,12.75
LPSN,"Liveperson Inc",26.3,"96% Buy",69.36%,25.36%,465030,10.8,26.75
LQDT,"Liquidity Services",7.3,"56% Buy",56.15%,39.25%,88435,4.34,8
LTC,"Ltc Properties",46.1,"80% Buy",68.80%,13.95%,152810,34.46,49.59
LTXB,"Legacytexas Fnl",45.55,"56% Buy",61.06%,16.88%,184555,34.58,46.45
LXP,"Lexington Realty Trust",9.41,"100% Buy",67.90%,11.69%,882665,7.59,10.65
LXU,"Lsb Industries Inc",7.42,"96% Buy",62.55%,32.73%,112780,4.75,10.05
LZB,"La-Z-Boy Inc",33.15,"56% Buy",54.68%,60.10%,555420,23.15,39.15
MANT,"Mantech Intl Cp A",66.03,"100% Buy",70.68%,19.52%,116035,38.37,66.29
MATW,"Matthews Intl Corp",52.25,"24% Sell",41.60%,14.53%,79460,47.7,65.1
MATX,"Matson Inc",36.7,"40% Buy",52.31%,17.80%,148605,24,40.32
MCRI,"Monarch Casino",47.24,"40% Buy",52.60%,18.38%,69445,33.9,49.63
MCS,"Marcus Corp",39.5,"64% Buy",62.48%,30.18%,108305,23.55,40.45
MDC,"M.D.C. Holdings",31.82,"64% Buy",53.22%,21.34%,361050,26.45,37.45
MDCO,"Medicines Co",40.94,"96% Buy",63.40%,20.35%,634965,24.45,41.57
MDXG,"Mimedx Group Inc",5.42,"32% Buy",59.95%,95.46%,2388615,3.01,18.25
MED,"Medifast Inc",223.86,"88% Buy",68.51%,74.82%,247860,54.06,229.74
MEI,"Methode Electronics",40.6,"40% Buy",53.47%,20.30%,132075,36.75,48.44
MGLN,"Magellan Health",74.7,"56% Sell",33.36%,11.80%,217865,71.03,112.25
MGPI,"MGP Ingredients Inc",72.84,"64% Sell",36.55%,51.50%,234565,55.04,99.73
MHLD,"Maiden Holdings Ltd",4.05,"80% Sell",27.47%,191.98%,729390,3.8,9.1
MHO,"M/I Homes",26.14,"40% Sell",47.74%,24.98%,227860,24.08,37.41
MINI,"Mobile Mini Inc",43.65,"56% Sell",44.82%,19.88%,188740,28.1,50.4
MLI,"Mueller Industries",32.72,"72% Buy",57.46%,19.97%,164080,25.26,37.57
MMSI,"Merit Medical Sys",58.6,"96% Buy",64.01%,14.99%,257550,36.21,61.17
MNRO,"Monro Muffler Brak",70.6,"32% Buy",57.97%,24.44%,230990,45.45,71.85
MNTA,"Momenta Pharma",26.5,"32% Buy",48.72%,41.55%,361645,11.85,32.2
MOG.A,"Moog Inc Cl A",81.68,"40% Buy",60.28%,13.13%,89880,71.56,93.93
MOV,"Movado Group Inc",41.8,"56% Sell",33.01%,66.84%,240875,26.09,53.72
MPAA,"Motorcar Parts Amer",26.4,"96% Buy",74.21%,28.26%,217185,18.09,30.16
MRCY,"Mercury Sys Inc",53.21,"100% Buy",75.01%,21.90%,386310,30.11,55
MRTN,"Marten Transport L",22.05,"48% Sell",46.52%,20.54%,199055,16.05,29.6
MSTR,"Microstrategy Cl A",147.8,"96% Buy",64.39%,24.79%,93450,122.16,150.08
MTH,"Meritage Corp",43.15,"24% Sell",48.30%,23.93%,350540,38.8,55.5
MTRN,"Materion Corp",64.2,"80% Buy",65.65%,16.51%,99895,37.3,65.1
MTRX,"Matrix Service Co",21.33,"96% Buy",60.35%,35.59%,165655,10.95,21.95
MTSC,"M T S Systems Cp",53.45,"40% Buy",53.22%,22.37%,66200,42,57.5
MXL,"Maxlinear Inc",19.1,"40% Buy",58.97%,30.03%,1191270,15.39,28.06
MYE,"Myers Industries",22.45,"64% Buy",61.76%,20.24%,119280,17.7,24.6
MYGN,"Myriad Genetics Inc",49.73,"96% Buy",74.10%,44.53%,835230,27.23,49.95
MYRG,"MYR Group Inc",35.17,"40% Sell",46.62%,52.43%,102405,23.94,40.81
NANO,"Nanometrics Inc",43.83,"88% Buy",58.55%,51.16%,558300,22.08,48.26
NAVG,"Navigators Grp Inc",69.65,"96% Buy",74.87%,36.34%,339475,45.8,70.13
NBHC,"National Bank Holdings Corp",40.3,"16% Buy",53.09%,11.61%,90180,30.25,41.44
NBTB,"NBT Bancorp Inc",40.43,"32% Buy",53.22%,15.78%,55340,31.28,41.88
NCI,"Navigant Consulting",23.57,"16% Buy",51.65%,56.76%,393050,14.66,25.85
NE,"Noble Corp",6.19,"64% Buy",55.87%,44.72%,4801130,3.22,6.84
NEOG,"Neogen Cp",89.5,"96% Buy",66.42%,16.74%,154235,49.51,89.97
NEWM,"New Media Investment Group Inc",15.89,"48% Sell",35.69%,31.40%,529945,13.32,19.1
NFBK,"Northfield Bncrp Del",16.21,"72% Sell",44.15%,15.84%,50805,15.14,18.39
NGVT,"Ingevity Corp",99.89,"40% Buy",61.58%,15.74%,147270,58.79,101.79
NLS,"Nautilus Group",15,"24% Buy",55.06%,28.94%,214795,11.3,17.38
NMIH,"Nmi Holdings Cmn A",21.45,"32% Buy",58.74%,33.16%,353965,10.1,22.8
NP,"Neenah Paper",90.45,"100% Buy",61.17%,11.83%,60380,75.5,95.4
