Symbol,Name,"Market Cap, $K","P/E ttm","EPS ttm","Net Income(a)",Beta,Dividend(a),"Div Yield(a)"
IIIN,"Insteel Industries",771404000,29.5,1.38,22550000,2,0.12,0.29%
IIVI,"I I V I Inc",2639188000,28.57,1.57,95270000,0.14,0,0.00%
INDB,"Independent Bk Corp",2438272000,22.9,3.9,87200000,0.93,1.52,1.70%
INGN,"Inogen Inc",4136202000,132.55,1.5,21000000,1.11,0,0.00%
INN,"Summit Hotel Properties",1445907000,10.35,0.5,99210000,1.25,0.72,5.27%
INTL,"Intl Fcstone Inc",1009325000,40.97,1.32,6400000,1.71,0,0.00%
INVA,"Innoviva Inc",1439735000,9,1.53,134140000,2.2,0,0.00%
IOSP,"Innospec Inc",1912960000,17.06,4.65,61800000,1.06,1.76,2.22%
IPAR,"Inter Parfums Inc",1845520000,42.01,1.42,41590000,1.57,0.84,1.41%
IPHS,"Innophos Hldngs Inc",881840000,19.4,2.48,22450000,0.8,1.92,3.99%
IRBT,"Irobot Corp",2140536000,36.94,2.17,50960000,1.16,0,0.00%
IRDM,"Iridium Comm Inc",1953726000,30.95,0.58,233860000,1.91,0,0.00%
IRT,"Independence Realty Trust Inc",873179000,13.32,0.41,30210000,0.85,0.72,7.30%
ITG,"Investment Technology Group",729412000,52.16,0.43,-39440000,1.4,0.28,1.25%
ITGR,"Integer Holdings Corp",2280713000,23.94,3.01,66680000,0.91,0,0.00%
ITRI,"Itron Inc",2332400000,22.67,2.62,57300000,0.95,0,0.00%
IVC,"Invacare Corp",580300000,0,-1.81,-76540000,2.42,0.05,0.28%
IVR,"Invesco Mortgage Capital Inc",1830896000,9.14,1.77,348610000,0.6,1.68,10.39%
JBSS,"John B Sanfilippo",879625000,26.62,2.93,36130000,1.08,0.5,0.64%
JBT,"John Bean Technologies Corp",3481878000,32.79,3.5,80500000,1.19,0.4,0.35%
JCP,"J.C. Penney Company Inc",773153000,0,-0.07,-116000000,0.71,0,0.00%
JJSF,"J J Snack Foods",2872507000,36.01,4.26,79170000,0.61,1.8,1.17%
JRVR,"James River Gp HD",1224073000,26.52,1.53,43570000,0.46,1.2,2.96%
KALU,"Kaiser Aluminum",1849131000,20.54,5.4,45400000,0.64,2.2,1.98%
KAMN,"Kaman Corp",1816196000,25.74,2.58,49830000,0.87,0.8,1.20%
KELYA,"Kelly Svcs Cl A",921413000,11.07,2.17,71600000,0.95,0.3,1.25%
KEM,"Kemet Corp",1502813000,14.8,1.81,254530000,3.7,0,0.00%
KFY,"Korn/Ferry International",3685104000,24.44,2.72,133780000,1.24,0.4,0.60%
KIRK,"Kirkland's Inc",176513000,24.82,0.45,5300000,1.19,0,0.00%
KLIC,"Kulicke and Soffa",1817593000,12.33,2.18,112010000,1.18,0.48,1.79%
KN,"Knowles Corp",1571601000,23.85,0.74,68300000,0.9,0,0.00%
