Symbol,Name,"Market Cap, $K","P/E ttm","EPS ttm","Net Income(a) $M",Beta,Dividend(ttm),"Div Yield(ttm)"
FOSL,"Fossil Group",1187830000,0,-0.14,-478170000,-0.11,N/A,0.00%
FOXF,"Fox Factory Cp",2414807000,36.96,1.76,43130000,0.69,N/A,0.00%
FRAN,"Francesca's Holdings",237701000,22.1,0.3,15560000,0.15,N/A,0.00%
FRGI,"Fiesta Restaurant Gp",769014000,60.11,0.47,-36230000,0.54,N/A,0.00%
FSB,"Franklin Financial Network Inc",557141000,14.49,2.64,28080000,1.1,N/A,0.00%
FSP,"Franklin Street Properties",911455000,8.38,-0.01,-15940000,0.79,0.56,6.59%
FSS,"Federal Signal Corp",1568812000,22.55,1.16,61600000,1.11,0.3,1.15%
FTD,"Ftd Companies",103657000,0,-0.76,-234040000,0.13,N/A,0.00%
FTK,"Flotek Industries",120186000,0,-0.36,-27400000,1.42,N/A,0.00%
FTR,"Frontier Commun Cp",606291000,0,-2.91,-1804000000,0.57,1.2,20.94%
FUL,"H. B. Fuller Company",2945502000,22.3,2.64,58240000,1.52,0.61,1.05%
FWRD,"Foward Air Corp",1864312000,23.97,2.67,87320000,1.39,0.6,0.94%
GBCI,"Glacier Bancorp Inc",3805090000,23.74,1.91,116380000,1.41,1.21,2.69%
GBX,"Greenbrier Companies",1924962000,14.66,4.08,116070000,1.75,0.96,1.61%
GCI,"Gannett Co. Inc",1194410000,9.33,1.15,6890000,0.95,0.64,6.05%
GCO,"Genesco Inc",909348000,14.88,3.01,-111840000,1.03,N/A,0.00%
GDOT,"Green Dot Corp",4470553000,40.42,2.12,85890000,0.74,N/A,0.00%
GEOS,"Geospace Technologie",191080000,0,-2.54,-56790000,1.26,N/A,0.00%
GES,"Guess Inc",1875380000,32.61,0.7,-7890000,0.18,0.9,3.88%
GFF,"Griffon Corp",828003000,24.27,0.75,14910000,1.36,1.28,7.05%
GHL,"Greenhill & Co. Inc",637603000,108.89,0.27,-26650000,1.14,0.6,2.12%
GIFI,"Gulf Island Fab",145136000,0,-1.65,-44770000,1.01,0.01,0.10%
GIII,"G-III Apparel Gp I",2234285000,22.45,2,62120000,0.28,N/A,0.00%
GLT,Glatfelter,821751000,19.94,0.93,7910000,1.11,0.52,2.77%
GME,"Gamestop Corp",1429236000,4.76,3.09,34700000,1.26,1.52,10.83%
GNBC,"Green Bancorp",897306000,17.55,1.37,34140000,2.14,0.2,0.83%
GNL,"Global Net Lease Inc",1523895000,10.13,0.23,23570000,0.52,2.13,9.97%
GOV,"Government Properties Income Trust",1698782000,8.47,0.3,12090000,1.19,1.72,10.04%
GPI,"Group 1 Automotive",1591605000,9.37,8.49,213440000,1.78,1.01,1.26%
GPRE,"Green Plains Inc",745740000,0,-0.96,61060000,1.04,0.48,2.67%
GTLS,"Chart Industries In",2333370000,49.11,1.54,28000000,1.06,N/A,0.00%
GTY,"Getty Realty Corp",1182215000,17.02,1.16,47190000,0.51,1.24,4.24%
GWB,"Great Western Bancorp Inc",2540788000,15.25,2.83,144790000,1.53,0.9,2.09%
HA,"Hawaiian Hldgs Inc",2143765000,7.53,5.55,364040000,1.37,0.48,1.14%
HAFC,"Hanmi Financial Cp",845260000,13.94,1.88,54660000,0.78,0.93,3.58%
HAYN,"Haynes Intl Inc",484262000,0,-0.66,-10190000,1.51,0.88,2.27%
HCI,"Homeowners Choice",380758000,0,-1.03,-6890000,1.64,1.45,3.53%
HF,"HFF Inc",1789740000,18.93,2.41,94960000,0.99,N/A,0.00%
HFWA,"Heritage Financial",1325477000,23.59,1.53,41790000,0.5,0.68,1.89%
HI,"Hillenbrand Inc",3168464000,21.6,2.38,126200000,1.26,0.827,1.63%
HIBB,"Hibbett Sports Inc",362893000,10.49,1.87,35030000,0.79,N/A,0.00%
HLIT,"Harmonic Inc",477467000,0,-0.16,-82960000,0.7,N/A,0.00%
HLX,"Helix Energy Solutions Group",1335952000,83.55,0.11,30050000,2.54,N/A,0.00%
HMN,"Horace Mann Educators Corp",1878258000,24.68,1.85,169460000,0.78,1.12,2.45%
HMST,"Homestreet Inc",781071000,17.13,1.71,68950000,0.39,N/A,0.00%
HMSY,"Hms Hldgs Cp",2641509000,57.4,0.42,40050000,0.92,N/A,0.00%
HOPE,"Hope Bancorp Inc",2268151000,12.6,1.39,139450000,1.39,0.53,3.04%
HPR,"Highpoint Resources Corp.",1123649000,0,-0.14,-138230000,3.32,N/A,0.00%
HQY,Healthequity,5724733000,119.72,0.76,47360000,1.37,N/A,0.00%
HSC,"Harsco Corp",2207205000,28.16,0.98,7820000,2.76,N/A,0.00%
HSII,"Heidrick & Struggl",835188000,26.18,1.7,-48640000,1.67,0.52,1.18%
