Symbol,Name,Last,"Wtd Alpha","YTD %Chg","1M %Chg","3M %Chg","52W %Chg"
DAR,"Darling International Inc",19.92,+21.70,+9.87%,+0.20%,+16.22%,+19.71%
DBD,"Diebold Nixdorf Inc",10.95,-47.80,-33.03%,-8.37%,-28.66%,-52.70%
DCOM,"Dime Community Bncsh",17.4,-18.00,-16.95%,-10.77%,-11.90%,-16.55%
DDD,"3D Systems Corp",12.48,+0.20,+44.44%,-9.63%,+24.30%,-26.15%
DEA,"Easterly Government Properties",18.8,-9.30,-11.90%,-4.86%,-8.78%,-5.48%
DEPO,"Depomed Inc",8.68,+10.20,+7.83%,+30.13%,+38.22%,-15.81%
DF,"Dean Foods Company",9.89,-28.90,-14.45%,-5.90%,+14.87%,-34.15%
DFIN,"Donnelly Financial Solutions Inc",20.94,+5.80,+7.44%,+20.55%,+13.80%,-9.59%
DGII,"Digi Intl Inc",13.55,+46.90,+41.88%,+2.65%,+17.83%,+36.87%
DIN,"Dineequity Inc",71.56,+67.20,+41.06%,-4.33%,-9.81%,+74.71%
DIOD,"Diodes Inc",36.84,+41.20,+28.50%,+6.88%,+29.04%,+38.70%
DNR,"Denbury Resources",4.68,+199.70,+111.76%,-2.70%,+42.25%,+212.00%
DORM,"Dorman Products Inc",73.68,+3.40,+20.51%,+7.86%,+14.66%,-5.47%
DPLO,"Diplomat Pharmacy Inc",21.41,+31.70,+6.68%,-16.24%,-1.74%,+38.94%
DRH,"Diamondrock Hospitality Company",11.72,+2.50,+3.81%,-4.56%,+6.06%,+0.26%
DSPG,"D S P Group Inc",12.25,+0.30,-2.00%,-1.61%,+2.51%,-1.21%
DSW,"DSW Inc",27.1,+46.00,+26.58%,+4.96%,+21.52%,+48.66%
DXPE,"Dxp Enterprise",40.3,+42.40,+36.29%,+5.50%,+11.02%,+36.66%
EBIX,"Ebix Inc",78.8,+29.30,-0.57%,+3.34%,+1.68%,+35.98%
EBS,"Emergent Biosolutions",52.99,+43.10,+14.03%,+4.95%,+2.18%,+45.54%
ECHO,"Echo Global Logistic",32.35,+96.90,+15.54%,+10.60%,+18.50%,+133.57%
ECOL,"US Ecology Inc",66.1,+35.00,+29.61%,+3.77%,+24.02%,+24.60%
ECPG,"Encore Capital Grp",36.35,-19.30,-13.66%,-0.68%,-18.50%,-8.21%
EE,"El Paso Electric Company",61.55,+19.20,+11.20%,+4.15%,+20.57%,+19.17%
EFII,"Elec Imaging Inc",34.06,+39.90,+15.34%,+4.61%,+22.96%,-29.50%
EGHT,"8X8 Inc",19.85,+44.30,+40.78%,-1.00%,-1.98%,+56.30%
EGL,"Engility Holdings Inc",33.86,+16.60,+19.35%,+10.51%,+33.20%,+15.37%
EGOV,"Nic Inc",16.05,+3.50,-3.31%,+3.22%,+8.08%,-0.31%
EGP,"Eastgroup Properties",93.81,+10.10,+6.14%,-1.83%,+4.49%,+8.55%
EGRX,"Eagle Pharmaceutical",78.87,+68.60,+47.64%,+4.24%,+51.64%,+56.24%
EHTH,"Ehealth Inc",22.97,+26.80,+32.24%,+3.94%,+21.92%,+30.88%
EIG,"Employers Holdings Inc",46.3,+10.80,+4.28%,+15.17%,+13.20%,+5.83%
ELY,"Callaway Golf Company",19.15,+43.10,+37.47%,+0.95%,+10.95%,+51.74%
ENDP,"Endo Int'l Plc",12.16,+70.40,+56.90%,+28.95%,+112.22%,+10.24%
ENSG,"The Ensign Group In",35.52,+76.50,+60.00%,-0.84%,+27.45%,+58.29%
ENTA,"Enanta Pharmaceutica",97.38,+131.60,+65.95%,-15.98%,+4.65%,+155.99%
ENVA,"Enova International Inc",31.25,+118.50,+105.59%,-14.50%,+6.66%,+112.59%
EPAY,"Bottomline Tech In",53.48,+94.80,+54.21%,+7.32%,+35.32%,+89.51%
ERA,"Era Group Inc",14.09,+59.90,+31.07%,+8.80%,+33.55%,+47.85%
ESE,"Esco Technologies Inc",61,+2.20,+1.24%,+5.72%,+9.22%,-1.85%
ESIO,"Electro Sci Inds",17.91,+25.50,-16.43%,+13.57%,-0.50%,+106.57%
ESND,"Essendant Inc",16.39,+47.70,+76.81%,+23.98%,+120.30%,+38.55%
ETH,"Ethan Allen Interiors Inc",22.45,-29.30,-21.50%,-8.37%,+1.81%,-31.03%
EVTC,"Evertec Inc",23.55,+46.90,+72.53%,+7.78%,+29.04%,+35.34%
EXLS,"Exlservice Holdings",59.36,+3.50,-1.64%,+4.86%,+2.68%,+3.06%
EXPO,"Exponent Inc",48.4,+45.80,+36.15%,+0.21%,+12.04%,+49.96%
EXPR,"Express Inc",9.77,+46.90,-3.74%,+6.78%,+24.62%,+60.96%
EXTN,"Exterran Corp",27.58,-1.50,-12.28%,+10.14%,-5.84%,-2.13%
EXTR,"Extreme Networks",8.41,-9.40,-32.83%,+5.65%,-21.40%,-6.87%
EZPW,"Ezcorp Inc",11.3,+14.60,-7.38%,-6.22%,-17.52%,+41.25%
FARO,"Faro Tech Inc",67.4,+89.10,+43.40%,+24.01%,+33.47%,+71.72%
FBP,"First Bancorp",8.21,+52.20,+60.98%,+7.32%,+13.71%,+36.38%
FCF,"First Commonwealth Financial Corp",17.19,+35.20,+20.04%,+10.83%,+13.54%,+32.95%
FCFS,"First Cash Fin Svcs",82.4,+34.30,+22.16%,-8.29%,-4.96%,+40.98%
FCN,"Fti Consulting",77.03,+149.40,+79.31%,+27.36%,+31.90%,+133.00%
FCPT,"Four Corners Property Trust In",24.98,+4.90,-2.80%,+1.42%,+10.24%,-2.46%
FELE,"Franklin Electric Co",47.15,+18.10,+2.72%,+4.55%,+15.00%,+17.73%
FF,"Futurefuel Corp",13.41,-6.70,-4.83%,-4.28%,+14.62%,-9.45%
FFBC,"First Finl Bncp [Oh]",30.3,+16.00,+14.99%,-1.14%,-2.10%,+16.76%
FFIN,"First Finl Bkshs Inc",56.6,+35.20,+25.64%,+11.20%,+14.23%,+31.63%
FIX,"Comfort Systems USA",54.75,+68.40,+25.43%,+19.54%,+29.74%,+62.22%
FLOW,"SPX Flow Inc",45.55,+23.70,-4.21%,+4.07%,+1.22%,+26.42%
FMBI,"First Midwest Bncp",26.73,+20.10,+11.33%,+4.95%,+9.95%,+20.51%
FN,Fabrinet,38.46,+2.70,+34.01%,+4.26%,+36.33%,-14.65%
FNSR,"Finisar Corp",16.84,-27.30,-17.25%,-6.44%,+8.09%,-38.18%
FORM,"Formfactor Inc",12.8,-12.60,-18.21%,-3.76%,+11.55%,-2.29%
FORR,"Forrester Resrch",46.3,+15.60,+4.75%,+10.37%,+16.33%,+15.89%
FOSL,"Fossil Group",25.1,+93.10,+223.04%,-6.59%,+67.89%,+127.36%
FOXF,"Fox Factory Cp",49.05,+34.50,+26.25%,+5.37%,+47.52%,+27.24%
FRAN,"Francesca's Holdings",8,-5.80,+9.44%,+5.96%,+61.62%,-15.88%
FRGI,"Fiesta Restaurant Gp",29,+83.40,+52.63%,+1.05%,+38.10%,+67.63%
FSB,"Franklin Financial Network Inc",38.6,+15.10,+13.20%,+2.66%,+14.54%,+10.92%
FSP,"Franklin Street Properties",8.45,-17.90,-21.32%,-1.29%,+8.61%,-21.61%
FSS,"Federal Signal Corp",23.34,+23.40,+16.18%,+0.21%,+7.76%,+26.23%
FTD,"Ftd Companies",3.55,-78.50,-50.63%,-23.49%,-44.88%,-81.74%
